"Date","Open","High","Low","Close","a","b"
"13/05/2009",9305.79,9379.47,9278.89,9340.49,9340.4858099812,"ETS(A,N,N)"
"14/05/2009",9212.3,9223.77,9052.41,9093.73,9094.02293598167,"ETS(A,N,N)"
"15/05/2009",9150.21,9272.08,9140.9,9265.02,9263.37242284226,"ETS(A,N,N)"
"18/05/2009",9167.05,9167.82,8997.74,9038.69,9042.03508912298,"ETS(A,N,N)"
"19/05/2009",9172.56,9326.75,9166.97,9290.29,9256.62588866921,"ETS(A,N,N)"
"20/05/2009",9372.72,9399.4,9311.61,9344.64,9330.5234908934,"ETS(A,N,N)"
"21/05/2009",9280.35,9286.35,9189.92,9264.15,9275.27712960984,"ETS(A,N,N)"
"22/05/2009",9156.14,9267.82,9126.69,9225.81,9233.69196002393,"ETS(A,N,N)"
"25/05/2009",9245.95,9402.76,9245.95,9347,9327.19543801954,"ETS(A,N,N)"
"26/05/2009",9364.22,9379.78,9231.93,9310.81,9313.34127688022,"ETS(A,N,N)"
"27/05/2009",9426.62,9491.13,9411.54,9438.77,9423.69601383907,"ETS(A,N,N)"
"28/05/2009",9353.33,9492.66,9353.33,9451.39,9448.32125252519,"ETS(A,N,N)"
"29/05/2009",9478.21,9522.5,9426.52,9522.5,9513.8432040162,"ETS(A,N,N)"
"01/06/2009",9517.49,9691.73,9491.26,9677.75,9659.47960586857,"ETS(A,N,N)"
"02/06/2009",9774.55,9793.47,9704.31,9704.31,9700.01382502584,"ETS(A,N,N)"
